path	sentence	num characters
7cbdda13e6a6ee6457667d1caabe0222.wav	Scam artists lie. Their success depends on having an airtight answer for everything.	84
b8b8efb6e0042adb2a90127b4d605b18.wav	They managed to avoid attracting much attention.	48
53b83d2c3215394a3c8401fc77a7c2b5.wav	Scientists believe the Solar System formed around four point six billion years ago.	83
7c197c123ddcabc66b7d02ce484663d8.wav	Alexander was the first to break the lines, followed by Philip's generals.	74
5d5dcb7c908b644efc4f37980a2eb986.wav	Nobody interfered with them or regulated their conduct. They might get drunk when so disposed, and did so frequently, alone or in company.	138
c3c611ba8b3d8ddc9e4a98e3035f80ba.wav	The T.N.T. blows up the granite, forming a tunnel to the coal and iron ore.	75
6552c21aac272c5022f40bbece44258c.wav	They were mainly members of the criminal classes.	49
0398ed1aff279f5b4190491ef7e636d9.wav	Today, anyone can pass both bridges for free, but one is closed to cars.	72
2da48b56185e1b74dee730c3625ea117.wav	An asian man carrying a suitcase while talking on the phone and walking quickly.	80
fec08a43fa777e977518b5eca40e44c4.wav	In his person he was neat and fastidious;	41
22dab3e75bf7fa5391386ae6e9d8fc31.wav	A man is sitting on a pink cart with a little girl in the grocery store.	72
b1e6a5896f5ffbe46b913035a8ad5f72.wav	Where is my shoe?	17
2eb98220efba57828a4ec42498f54e05.wav	Transfer skillet to the preheated oven; bake pizza until crust is lightly browned, about eighteen minutes.	106
a218955a4abf254701e0ec2e95ccefc6.wav	More importantly, the lack of carefully prepared and carefully transmitted instructions for typical visits to cities can lead to lapses in protection.	150
c6d2e397794a994ed78a363180888d7a.wav	They sent him to Minsk to work in a radio and television factory as a metal worker.	83
992b69165fafcd3d37ca2bcede40fc91.wav	Can you see the beacon at the top of the wind turbine?	54
c758088531f2d05efa215160aabd2991.wav	I have disabled some of the certificate authorities, but they're not grayed out in this list.	93
90bb1f6b98c42b37bcb1a72be2e38aab.wav	This plank was made for walking on.	35
96101dc2935d12453728038a6c61e16e.wav	When the user's identity has been accepted by the server, you will be notified.	79
c796f70b310d4f71c84e3df45fb76c12.wav	A sailor, Krapps by name, occupied one of the upper cells in the new block.	75
1366ef531c1e1aa8e75163c5ac517169.wav	His original manuscripts are collected in the family archive, including some specially bound volumes of some of his works.	122
28dec81c354323ebdd56f48f75134726.wav	Modern printers understand this, but it is only practiced in the very best establishments.	90
aec45dbf51cd496de83fbd5b20f0c19f.wav	You have to be able to deal with all age groups.	48
f0eadc88c1e7d9ede611d74d41d03c59.wav	The greatest pains might be taken to secure isolation,	54
722c866cbccc31d635a6017c357d47f3.wav	I'm sorry, what did you say?	28
053460856a5f101ffc6be462cafd41d3.wav	Top pork chops with onions, sweet potatoes, and apples. Sprinkle with brown sugar.	82
b67e315122f4d7f9337e7e5ba0875a66.wav	I'm just writing code to simulate an omnidirectional camera at the moment.	74
846c70c5486c9ba206b51d1c5c1c7a56.wav	Grape juice and water mix well.	31
200820c1e9e64742b318a34148b98598.wav	was on November twenty to twenty-one, nineteen sixty-three.	59
0c4c3d73387cf8726defb701f39ecec8.wav	Blinded with their long hair, they tore at each other like two furies; their bonnets and caps were trodden underfoot in the kennel,	131
a8fdf8bcda092ce26574f64e467931d2.wav	"The false coin was bought by an agent from an agent, and dealings were carried on secretly at the ""Clock House"" in Seven Dials."	127
b5afcb3cc7fe14fc0c363636fff68338.wav	There the flood mark is ten inches.	35
43cc4ab2c79a94c309721a285f3ffdd0.wav	As the circumstances under which it was perpetrated were somewhat novel,	72
e55925d80213bc03e1072a59e29bed9c.wav	Mr. Briggs left the bank one afternoon as usual, dined with his daughter at Peckham,	84
d93c5c3f5c607825a5fc4517386a111f.wav	Did it work?	12
fff9d87590cd02394ed0c17a3b324867.wav	There was no marker.	20
9bcf3ccfbc47c29255c75a625f2728d2.wav	It would take months or years to get substantial agreement upon the type and language of the amendment.	103
a6833516aad759860e0e66905089a960.wav	The courts, however, have cast doubts on the ability of the elected Congress to protect us against catastrophe	110
48a12a1bea69102ec57e679593f9f023.wav	and how, in punishment for all his wickedness, he became a calf, and for seven years grazed the grass in the fields about the city.	131
5f900addddb8c262f876aa48babe3340.wav	The college decided to ebb their plan for increasing their parking spaces.	74
7be10a2a792ca4c91beb40cf67f270e7.wav	The circulatory system distributes these foods. In animals foods prepared for absorption in the stomach and intestine (by digestion)	132
a19fd18fc5a34c506a548b52660ce5ca.wav	The stale smell of old beer lingers.	36
de1889bb4a7c0e9e9383391f9ca2f95d.wav	The pigs and cows ran everywhere.	33
e69e64684061992fec4adde425f5ebaf.wav	"His most frequent use of a hand-held camera was for ""Seven"", in which five scenes were shot that way."	101
8e17b91c1b9cf9531a6ac198651f65ef.wav	The incumbent has no technical qualifications in the area of Presidential protection.	85
86b717a7ea2aa811f79e5f2e5d8a909a.wav	was introduced as early as seventeen ninety by Mr. Blackburn	60
d405048b50aa36162b1f81687e27cc67.wav	The Central-Midlevels escalator system in Hong Kong consists of twenty escalators.	82
dc6d9a648705df7ab378533dbfd8142c.wav	In six hundred feet, use the right two lanes to turn right at the third cross street onto Ash Street.	101
211241c5d61c45244866e9cfbdfeae94.wav	There are numberless similarities and correlations and surprising uniformities.	79
